date,Experimental Plot,Sensor,Variable,Value,Unit,Sensor Depth
2018-08-01,E1,First Sensor,Soil Volumetric Water Content,8.636340571,%,7.5 cm
2018-08-02,E1,First Sensor,Soil Volumetric Water Content,8.341914044,%,7.5 cm
2018-08-03,E1,First Sensor,Soil Volumetric Water Content,8.18855315,%,7.5 cm
2018-08-04,E1,First Sensor,Soil Volumetric Water Content,7.97068989,%,7.5 cm
2018-08-05,E1,First Sensor,Soil Volumetric Water Content,7.639385325,%,7.5 cm
2018-08-06,E1,First Sensor,Soil Volumetric Water Content,7.26074783,%,7.5 cm
2018-08-07,E1,First Sensor,Soil Volumetric Water Content,6.96219954,%,7.5 cm
2018-08-08,E1,First Sensor,Soil Volumetric Water Content,6.878619974,%,7.5 cm
2018-08-09,E1,First Sensor,Soil Volumetric Water Content,21.86938869,%,7.5 cm
2018-08-10,E1,First Sensor,Soil Volumetric Water Content,19.86998107,%,7.5 cm
2018-08-11,E1,First Sensor,Soil Volumetric Water Content,15.81919891,%,7.5 cm
2018-08-12,E1,First Sensor,Soil Volumetric Water Content,13.72166144,%,7.5 cm
2018-08-13,E1,First Sensor,Soil Volumetric Water Content,11.37938236,%,7.5 cm
2018-08-14,E1,First Sensor,Soil Volumetric Water Content,9.436283738,%,7.5 cm
2018-08-15,E1,First Sensor,Soil Volumetric Water Content,8.357444374,%,7.5 cm
2018-08-16,E1,First Sensor,Soil Volumetric Water Content,7.651412712,%,7.5 cm
2018-08-17,E1,First Sensor,Soil Volumetric Water Content,7.18369983,%,7.5 cm
2018-08-18,E1,First Sensor,Soil Volumetric Water Content,14.82771992,%,7.5 cm
2018-08-19,E1,First Sensor,Soil Volumetric Water Content,13.60132286,%,7.5 cm
2018-08-20,E1,First Sensor,Soil Volumetric Water Content,10.9290438,%,7.5 cm
2018-08-21,E1,First Sensor,Soil Volumetric Water Content,8.853610503,%,7.5 cm
2018-08-22,E1,First Sensor,Soil Volumetric Water Content,7.992727524,%,7.5 cm
2018-08-23,E1,First Sensor,Soil Volumetric Water Content,7.691735718,%,7.5 cm
2018-08-24,E1,First Sensor,Soil Volumetric Water Content,7.409467956,%,7.5 cm
2018-08-25,E1,First Sensor,Soil Volumetric Water Content,7.225235887,%,7.5 cm
2018-08-26,E1,First Sensor,Soil Volumetric Water Content,6.962206084,%,7.5 cm
2018-08-27,E1,First Sensor,Soil Volumetric Water Content,7.012974876,%,7.5 cm
2018-08-28,E1,First Sensor,Soil Volumetric Water Content,8.168285103,%,7.5 cm
2018-08-29,E1,First Sensor,Soil Volumetric Water Content,10.71720973,%,7.5 cm
2018-08-30,E1,First Sensor,Soil Volumetric Water Content,14.40792407,%,7.5 cm
2018-08-31,E1,First Sensor,Soil Volumetric Water Content,14.11131189,%,7.5 cm
2018-09-01,E1,First Sensor,Soil Volumetric Water Content,12.75702625,%,7.5 cm
2018-09-02,E1,First Sensor,Soil Volumetric Water Content,11.3937203,%,7.5 cm
2018-09-03,E1,First Sensor,Soil Volumetric Water Content,22.56957971,%,7.5 cm
2018-09-04,E1,First Sensor,Soil Volumetric Water Content,19.12564869,%,7.5 cm
2018-09-05,E1,First Sensor,Soil Volumetric Water Content,17.34984999,%,7.5 cm
2018-09-06,E1,First Sensor,Soil Volumetric Water Content,16.68134085,%,7.5 cm
2018-09-07,E1,First Sensor,Soil Volumetric Water Content,15.54738601,%,7.5 cm
2018-09-08,E1,First Sensor,Soil Volumetric Water Content,14.67845976,%,7.5 cm
2018-09-09,E1,First Sensor,Soil Volumetric Water Content,14.064572,%,7.5 cm
2018-09-10,E1,First Sensor,Soil Volumetric Water Content,13.50926994,%,7.5 cm
2018-09-11,E1,First Sensor,Soil Volumetric Water Content,21.39985114,%,7.5 cm
2018-09-12,E1,First Sensor,Soil Volumetric Water Content,20.4056848,%,7.5 cm
2018-09-13,E1,First Sensor,Soil Volumetric Water Content,18.24323842,%,7.5 cm
2018-09-14,E1,First Sensor,Soil Volumetric Water Content,16.84989615,%,7.5 cm
2018-09-15,E1,First Sensor,Soil Volumetric Water Content,15.76570688,%,7.5 cm
2018-09-16,E1,First Sensor,Soil Volumetric Water Content,15.1415063,%,7.5 cm
2018-09-17,E1,First Sensor,Soil Volumetric Water Content,14.61197623,%,7.5 cm
2018-09-18,E1,First Sensor,Soil Volumetric Water Content,14.07532766,%,7.5 cm
2018-09-19,E1,First Sensor,Soil Volumetric Water Content,13.67227964,%,7.5 cm
2018-09-20,E1,First Sensor,Soil Volumetric Water Content,13.45769394,%,7.5 cm
2018-09-21,E1,First Sensor,Soil Volumetric Water Content,15.4458956,%,7.5 cm
2018-09-22,E1,First Sensor,Soil Volumetric Water Content,21.72054853,%,7.5 cm
2018-09-23,E1,First Sensor,Soil Volumetric Water Content,18.86400041,%,7.5 cm
2018-09-24,E1,First Sensor,Soil Volumetric Water Content,17.59929324,%,7.5 cm
2018-09-25,E1,First Sensor,Soil Volumetric Water Content,18.01599643,%,7.5 cm
2018-09-26,E1,First Sensor,Soil Volumetric Water Content,21.14416835,%,7.5 cm
2018-09-27,E1,First Sensor,Soil Volumetric Water Content,21.15243731,%,7.5 cm
2018-09-28,E1,First Sensor,Soil Volumetric Water Content,19.36563937,%,7.5 cm
2018-09-29,E1,First Sensor,Soil Volumetric Water Content,18.59796163,%,7.5 cm
2018-09-30,E1,First Sensor,Soil Volumetric Water Content,17.73396562,%,7.5 cm
2018-10-01,E1,First Sensor,Soil Volumetric Water Content,17.46883987,%,7.5 cm
2018-10-02,E1,First Sensor,Soil Volumetric Water Content,19.93582135,%,7.5 cm
2018-10-03,E1,First Sensor,Soil Volumetric Water Content,21.24140657,%,7.5 cm
2018-10-04,E1,First Sensor,Soil Volumetric Water Content,20.25912964,%,7.5 cm
2018-10-05,E1,First Sensor,Soil Volumetric Water Content,19.32942591,%,7.5 cm
2018-10-06,E1,First Sensor,Soil Volumetric Water Content,18.28723347,%,7.5 cm
2018-10-07,E1,First Sensor,Soil Volumetric Water Content,19.04409392,%,7.5 cm
2018-10-08,E1,First Sensor,Soil Volumetric Water Content,18.9031316,%,7.5 cm
2018-10-09,E1,First Sensor,Soil Volumetric Water Content,22.83226107,%,7.5 cm
2018-10-10,E1,First Sensor,Soil Volumetric Water Content,22.77156368,%,7.5 cm
2018-10-11,E1,First Sensor,Soil Volumetric Water Content,26.215856,%,7.5 cm
2018-10-12,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-13,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-14,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-15,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-16,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-17,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-18,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-19,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-20,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-21,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-22,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-23,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-24,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-25,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2018-10-26,E1,First Sensor,Soil Volumetric Water Content,19.09865572,%,7.5 cm
2018-10-27,E1,First Sensor,Soil Volumetric Water Content,18.25040991,%,7.5 cm
2018-10-28,E1,First Sensor,Soil Volumetric Water Content,25.8027776,%,7.5 cm
2018-10-29,E1,First Sensor,Soil Volumetric Water Content,23.32618981,%,7.5 cm
2018-10-30,E1,First Sensor,Soil Volumetric Water Content,21.56129477,%,7.5 cm
2018-10-31,E1,First Sensor,Soil Volumetric Water Content,21.84943736,%,7.5 cm
2018-11-01,E1,First Sensor,Soil Volumetric Water Content,22.79304219,%,7.5 cm
2018-11-02,E1,First Sensor,Soil Volumetric Water Content,25.50030419,%,7.5 cm
2018-11-03,E1,First Sensor,Soil Volumetric Water Content,26.54033841,%,7.5 cm
2018-11-04,E1,First Sensor,Soil Volumetric Water Content,23.01363033,%,7.5 cm
2018-11-05,E1,First Sensor,Soil Volumetric Water Content,21.53439345,%,7.5 cm
2018-11-06,E1,First Sensor,Soil Volumetric Water Content,23.7836413,%,7.5 cm
2018-11-07,E1,First Sensor,Soil Volumetric Water Content,22.97056751,%,7.5 cm
2018-11-08,E1,First Sensor,Soil Volumetric Water Content,20.3856679,%,7.5 cm
2018-11-09,E1,First Sensor,Soil Volumetric Water Content,19.66607716,%,7.5 cm
2018-11-10,E1,First Sensor,Soil Volumetric Water Content,25.54070237,%,7.5 cm
2018-11-11,E1,First Sensor,Soil Volumetric Water Content,19.33953928,%,7.5 cm
2018-11-12,E1,First Sensor,Soil Volumetric Water Content,16.99881326,%,7.5 cm
2018-11-13,E1,First Sensor,Soil Volumetric Water Content,18.98444559,%,7.5 cm
2018-11-14,E1,First Sensor,Soil Volumetric Water Content,16.1666533,%,7.5 cm
2018-11-15,E1,First Sensor,Soil Volumetric Water Content,8.219794122,%,7.5 cm
2018-11-16,E1,First Sensor,Soil Volumetric Water Content,8.430411252,%,7.5 cm
2018-11-17,E1,First Sensor,Soil Volumetric Water Content,9.616010393,%,7.5 cm
2018-11-18,E1,First Sensor,Soil Volumetric Water Content,10.33465712,%,7.5 cm
2018-11-19,E1,First Sensor,Soil Volumetric Water Content,11.17087122,%,7.5 cm
2018-11-20,E1,First Sensor,Soil Volumetric Water Content,13.65327171,%,7.5 cm
2018-11-21,E1,First Sensor,Soil Volumetric Water Content,15.79492957,%,7.5 cm
2018-11-22,E1,First Sensor,Soil Volumetric Water Content,16.77983113,%,7.5 cm
2018-11-23,E1,First Sensor,Soil Volumetric Water Content,16.7959958,%,7.5 cm
2018-11-24,E1,First Sensor,Soil Volumetric Water Content,16.82658406,%,7.5 cm
2018-11-25,E1,First Sensor,Soil Volumetric Water Content,17.44096974,%,7.5 cm
2018-11-26,E1,First Sensor,Soil Volumetric Water Content,22.56021131,%,7.5 cm
2018-11-27,E1,First Sensor,Soil Volumetric Water Content,23.87906362,%,7.5 cm
2018-11-28,E1,First Sensor,Soil Volumetric Water Content,22.6034002,%,7.5 cm
2018-11-29,E1,First Sensor,Soil Volumetric Water Content,22.12906972,%,7.5 cm
2018-11-30,E1,First Sensor,Soil Volumetric Water Content,21.90291401,%,7.5 cm
2018-12-01,E1,First Sensor,Soil Volumetric Water Content,21.8385843,%,7.5 cm
2018-12-02,E1,First Sensor,Soil Volumetric Water Content,22.83606536,%,7.5 cm
2018-12-03,E1,First Sensor,Soil Volumetric Water Content,25.73392594,%,7.5 cm
2018-12-04,E1,First Sensor,Soil Volumetric Water Content,24.00362456,%,7.5 cm
2018-12-05,E1,First Sensor,Soil Volumetric Water Content,22.09104916,%,7.5 cm
2018-12-06,E1,First Sensor,Soil Volumetric Water Content,20.94497098,%,7.5 cm
2018-12-07,E1,First Sensor,Soil Volumetric Water Content,20.62349692,%,7.5 cm
2018-12-08,E1,First Sensor,Soil Volumetric Water Content,19.86803347,%,7.5 cm
2018-12-09,E1,First Sensor,Soil Volumetric Water Content,18.79840782,%,7.5 cm
2018-12-10,E1,First Sensor,Soil Volumetric Water Content,18.27030369,%,7.5 cm
2018-12-11,E1,First Sensor,Soil Volumetric Water Content,17.01377802,%,7.5 cm
2018-12-12,E1,First Sensor,Soil Volumetric Water Content,16.34246933,%,7.5 cm
2018-12-13,E1,First Sensor,Soil Volumetric Water Content,15.86876549,%,7.5 cm
2018-12-14,E1,First Sensor,Soil Volumetric Water Content,15.59030969,%,7.5 cm
2018-12-15,E1,First Sensor,Soil Volumetric Water Content,24.98745238,%,7.5 cm
2018-12-16,E1,First Sensor,Soil Volumetric Water Content,23.31103039,%,7.5 cm
2018-12-17,E1,First Sensor,Soil Volumetric Water Content,21.61898796,%,7.5 cm
2018-12-18,E1,First Sensor,Soil Volumetric Water Content,19.80359094,%,7.5 cm
2018-12-19,E1,First Sensor,Soil Volumetric Water Content,17.11115407,%,7.5 cm
2018-12-20,E1,First Sensor,Soil Volumetric Water Content,15.45971628,%,7.5 cm
2018-12-21,E1,First Sensor,Soil Volumetric Water Content,19.42724476,%,7.5 cm
2018-12-22,E1,First Sensor,Soil Volumetric Water Content,26.3292262,%,7.5 cm
2018-12-23,E1,First Sensor,Soil Volumetric Water Content,21.99928002,%,7.5 cm
2018-12-24,E1,First Sensor,Soil Volumetric Water Content,18.04701626,%,7.5 cm
2018-12-25,E1,First Sensor,Soil Volumetric Water Content,14.23329617,%,7.5 cm
2018-12-26,E1,First Sensor,Soil Volumetric Water Content,8.367211488,%,7.5 cm
2018-12-27,E1,First Sensor,Soil Volumetric Water Content,7.399039057,%,7.5 cm
2018-12-28,E1,First Sensor,Soil Volumetric Water Content,7.843805472,%,7.5 cm
2018-12-29,E1,First Sensor,Soil Volumetric Water Content,9.487545016,%,7.5 cm
2018-12-30,E1,First Sensor,Soil Volumetric Water Content,7.50768067,%,7.5 cm
2018-12-31,E1,First Sensor,Soil Volumetric Water Content,7.883776977,%,7.5 cm
2019-01-01,E1,First Sensor,Soil Volumetric Water Content,8.962465349,%,7.5 cm
2019-01-02,E1,First Sensor,Soil Volumetric Water Content,7.011333024,%,7.5 cm
2019-01-03,E1,First Sensor,Soil Volumetric Water Content,6.971171554,%,7.5 cm
2019-01-04,E1,First Sensor,Soil Volumetric Water Content,7.545255429,%,7.5 cm
2019-01-05,E1,First Sensor,Soil Volumetric Water Content,8.352534707,%,7.5 cm
2019-01-06,E1,First Sensor,Soil Volumetric Water Content,8.957256644,%,7.5 cm
2019-01-07,E1,First Sensor,Soil Volumetric Water Content,7.4835018,%,7.5 cm
2019-01-08,E1,First Sensor,Soil Volumetric Water Content,7.422380124,%,7.5 cm
2019-01-09,E1,First Sensor,Soil Volumetric Water Content,8.107515658,%,7.5 cm
2019-01-10,E1,First Sensor,Soil Volumetric Water Content,8.433398812,%,7.5 cm
2019-01-11,E1,First Sensor,Soil Volumetric Water Content,8.263182112,%,7.5 cm
2019-01-12,E1,First Sensor,Soil Volumetric Water Content,7.789204714,%,7.5 cm
2019-01-13,E1,First Sensor,Soil Volumetric Water Content,7.547771829,%,7.5 cm
2019-01-14,E1,First Sensor,Soil Volumetric Water Content,7.38927962,%,7.5 cm
2019-01-15,E1,First Sensor,Soil Volumetric Water Content,7.508392413,%,7.5 cm
2019-01-16,E1,First Sensor,Soil Volumetric Water Content,7.816284669,%,7.5 cm
2019-01-17,E1,First Sensor,Soil Volumetric Water Content,7.513289343,%,7.5 cm
2019-01-18,E1,First Sensor,Soil Volumetric Water Content,7.405435009,%,7.5 cm
2019-01-19,E1,First Sensor,Soil Volumetric Water Content,7.340680688,%,7.5 cm
2019-01-20,E1,First Sensor,Soil Volumetric Water Content,7.229363431,%,7.5 cm
2019-01-21,E1,First Sensor,Soil Volumetric Water Content,7.336708856,%,7.5 cm
2019-01-22,E1,First Sensor,Soil Volumetric Water Content,7.228348269,%,7.5 cm
2019-01-23,E1,First Sensor,Soil Volumetric Water Content,7.275933684,%,7.5 cm
2019-01-24,E1,First Sensor,Soil Volumetric Water Content,7.825585177,%,7.5 cm
2019-01-25,E1,First Sensor,Soil Volumetric Water Content,8.605959907,%,7.5 cm
2019-01-26,E1,First Sensor,Soil Volumetric Water Content,7.937357647,%,7.5 cm
2019-01-27,E1,First Sensor,Soil Volumetric Water Content,7.449867434,%,7.5 cm
2019-01-28,E1,First Sensor,Soil Volumetric Water Content,7.250517111,%,7.5 cm
2019-01-29,E1,First Sensor,Soil Volumetric Water Content,6.993757906,%,7.5 cm
2019-01-30,E1,First Sensor,Soil Volumetric Water Content,7.254650326,%,7.5 cm
2019-01-31,E1,First Sensor,Soil Volumetric Water Content,6.978363654,%,7.5 cm
2019-02-01,E1,First Sensor,Soil Volumetric Water Content,6.730691472,%,7.5 cm
2019-02-02,E1,First Sensor,Soil Volumetric Water Content,6.658084348,%,7.5 cm
2019-02-03,E1,First Sensor,Soil Volumetric Water Content,6.762365337,%,7.5 cm
2019-02-04,E1,First Sensor,Soil Volumetric Water Content,6.965213931,%,7.5 cm
2019-02-05,E1,First Sensor,Soil Volumetric Water Content,7.78531082,%,7.5 cm
2019-02-06,E1,First Sensor,Soil Volumetric Water Content,7.39736685,%,7.5 cm
2019-02-07,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-08,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-09,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-10,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-11,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-12,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-13,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-14,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-15,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-16,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-17,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-18,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-19,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-20,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-21,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-22,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-23,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-24,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-25,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-26,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-27,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-02-28,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-01,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-02,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-03,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-04,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-05,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-06,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-07,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-08,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-09,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-10,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-11,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-12,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-13,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-14,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-15,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-16,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-17,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-18,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-19,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-20,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-21,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-22,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-23,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-24,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-25,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-26,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-27,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-28,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-29,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-30,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-03-31,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-01,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-02,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-03,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-04,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-05,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-06,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-07,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-08,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-09,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-10,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-11,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-12,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-04-13,E1,First Sensor,Soil Volumetric Water Content,25.34431084,%,7.5 cm
2019-04-14,E1,First Sensor,Soil Volumetric Water Content,21.55176173,%,7.5 cm
2019-04-15,E1,First Sensor,Soil Volumetric Water Content,24.70691957,%,7.5 cm
2019-04-16,E1,First Sensor,Soil Volumetric Water Content,22.65240017,%,7.5 cm
2019-04-17,E1,First Sensor,Soil Volumetric Water Content,20.10567188,%,7.5 cm
2019-04-18,E1,First Sensor,Soil Volumetric Water Content,18.63107908,%,7.5 cm
2019-04-19,E1,First Sensor,Soil Volumetric Water Content,22.00497227,%,7.5 cm
2019-04-20,E1,First Sensor,Soil Volumetric Water Content,28.56136759,%,7.5 cm
2019-04-21,E1,First Sensor,Soil Volumetric Water Content,22.09300774,%,7.5 cm
2019-04-22,E1,First Sensor,Soil Volumetric Water Content,19.33515534,%,7.5 cm
2019-04-23,E1,First Sensor,Soil Volumetric Water Content,17.75115638,%,7.5 cm
2019-04-24,E1,First Sensor,Soil Volumetric Water Content,22.32697229,%,7.5 cm
2019-04-25,E1,First Sensor,Soil Volumetric Water Content,21.72707474,%,7.5 cm
2019-04-26,E1,First Sensor,Soil Volumetric Water Content,21.97755515,%,7.5 cm
2019-04-27,E1,First Sensor,Soil Volumetric Water Content,24.33988894,%,7.5 cm
2019-04-28,E1,First Sensor,Soil Volumetric Water Content,20.680841,%,7.5 cm
2019-04-29,E1,First Sensor,Soil Volumetric Water Content,18.79970143,%,7.5 cm
2019-04-30,E1,First Sensor,Soil Volumetric Water Content,17.53984385,%,7.5 cm
2019-05-01,E1,First Sensor,Soil Volumetric Water Content,20.12252805,%,7.5 cm
2019-05-02,E1,First Sensor,Soil Volumetric Water Content,20.52330574,%,7.5 cm
2019-05-03,E1,First Sensor,Soil Volumetric Water Content,22.90093083,%,7.5 cm
2019-05-04,E1,First Sensor,Soil Volumetric Water Content,19.80036472,%,7.5 cm
2019-05-05,E1,First Sensor,Soil Volumetric Water Content,18.00489054,%,7.5 cm
2019-05-06,E1,First Sensor,Soil Volumetric Water Content,17.21448396,%,7.5 cm
2019-05-07,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-05-08,E1,First Sensor,Soil Volumetric Water Content,,%,7.5 cm
2019-05-09,E1,First Sensor,Soil Volumetric Water Content,15.98397041,%,7.5 cm
2019-05-10,E1,First Sensor,Soil Volumetric Water Content,24.45700005,%,7.5 cm
2019-05-11,E1,First Sensor,Soil Volumetric Water Content,22.56762627,%,7.5 cm
2019-05-12,E1,First Sensor,Soil Volumetric Water Content,19.58930715,%,7.5 cm
2019-05-13,E1,First Sensor,Soil Volumetric Water Content,17.87802736,%,7.5 cm
2019-05-14,E1,First Sensor,Soil Volumetric Water Content,19.69921304,%,7.5 cm
2019-05-15,E1,First Sensor,Soil Volumetric Water Content,19.76084574,%,7.5 cm
2019-05-16,E1,First Sensor,Soil Volumetric Water Content,18.17745923,%,7.5 cm
2019-05-17,E1,First Sensor,Soil Volumetric Water Content,17.17704361,%,7.5 cm
2019-05-18,E1,First Sensor,Soil Volumetric Water Content,16.81637252,%,7.5 cm
2019-05-19,E1,First Sensor,Soil Volumetric Water Content,17.61641113,%,7.5 cm
2019-05-20,E1,First Sensor,Soil Volumetric Water Content,20.22928954,%,7.5 cm
2019-05-21,E1,First Sensor,Soil Volumetric Water Content,19.24191373,%,7.5 cm
2019-05-22,E1,First Sensor,Soil Volumetric Water Content,17.8870266,%,7.5 cm
